
International Seismological Centre
ISC: Focal Mechanism solutions

Any use of data from the ISC should be cited. The correct format for citations may be found on our citation page.

The ISC Bulletin has now been completely rebuilt for the period 1964-2010. As a result, the ISC hypocentre solutions and magnitudes for the entire period of 1964-latest are based on the ak135 velocity model and the location procedure that is currently used in operations. The Bulletin has been cleaned up and a considerable number of previously unavailable data of permanent and temporary seismic deployments have been added.

Once the search has completed, a compressed KML file will be available to view the results in Google Earth.

Make an event map
Search summary:
Database: ISC Bulletin
Search type: Rectangular search
Latitude range: 35 to 39
Longitude range: 139 to 143
Start date: 2000-09-01 00:00:00
End date: 2010-10-01 00:00:00
Events found: 2907

DATA_TYPE FOCAL_MECHANISM_SOLUTIONS
ISC Bulletin
--EVENT--|------------------------------ORIGIN------------------------------|FM AUTHOR|----MOMENT---|-----------MOMENT TENSOR COMPONENTS---------|---------------NODAL PLANES--------------|-----------------------PRINCIPAL AXES-------------------------|
 EVENT_ID,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,CENTROID,AUTHOR   ,EX,MO   ,MW  ,EX,MRR   ,MTT   ,MPP   ,MRT   ,MTP   ,MPR   ,STRIKE,DIP  ,RAKE   ,STRIKE,DIP  ,RAKE   ,EX,T_VAL ,T_PL ,T_AZM ,P_VAL ,P_PL ,P_AZM ,N_VAL ,N_PL ,N_AZM 
  2568039,JMA      ,2000-09-08,14:21:29.40, 35.4700, 139.1400, 23.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,161.00,59.00, -10.00,256.00,81.00,-149.00,  ,      ,15.00, 25.00,      ,28.00,123.00,      ,58.00,270.00
  1739742,NIED     ,2000-09-09,11:48:00   , 36.1000, 139.6000, 62.0,        ,NIED     ,15,4.730, 4.4,  ,      ,      ,      ,      ,      ,      ,125.00,19.00, 154.00,240.00,82.00,  72.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1739742,JMA      ,2000-09-09,11:48:44.00, 36.0300, 139.6500, 67.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,130.00,25.00, 165.00,234.00,83.00,  65.00,  ,      ,46.00,119.00,      ,34.00,345.00,      ,24.00,237.00
  2569604,NIED     ,2000-09-11,23:40:00   , 37.2000, 142.2000, 11.0,        ,NIED     ,14,1.260, 3.3,  ,      ,      ,      ,      ,      ,      ,128.00,78.00, -63.00,240.00,29.00,-155.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  2570381,NIED     ,2000-09-14,03:22:00   , 35.4000, 140.8000, 35.0,        ,NIED     ,14,3.030, 3.6,  ,      ,      ,      ,      ,      ,      , 57.00,79.00,  98.00,200.00,13.00,  54.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1748201,JMA      ,2000-09-15,14:42:55.30, 36.6100, 140.9600, 50.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 34.00,73.00,  91.00,211.00,17.00,  87.00,  ,      ,62.00,305.00,      ,28.00,123.00,      , 1.00,213.00
  1748201,NIED     ,2000-09-15,14:43:00   , 36.6000, 141.0000, 50.0,        ,NIED     ,15,1.850, 4.1,  ,      ,      ,      ,      ,      ,      , 13.00,66.00,  54.00,254.00,42.00, 142.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1740028,NIED     ,2000-09-17,05:18:00   , 37.8000, 140.8000, 98.0,        ,NIED     ,15,1.460, 4.0,  ,      ,      ,      ,      ,      ,      ,211.00,88.00, 133.00,303.00,43.00,   3.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1740028,JMA      ,2000-09-17,05:18:04.60, 37.8000, 140.7700, 98.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,224.00,90.00, 130.00,314.00,40.00,   0.00,  ,      ,33.00,166.00,      ,33.00,281.00,      ,40.00, 43.00
  1911394,JMA      ,2000-09-18,15:19:53.00, 36.8900, 140.9300, 61.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,221.00,89.00, 122.00,312.00,32.00,   2.00,  ,      ,38.00,159.00,      ,36.00,283.00,      ,32.00, 40.00
  1911394,NIED     ,2000-09-18,15:20:00   , 36.9000, 140.9000, 53.0,        ,NIED     ,14,8.440, 3.9,  ,      ,      ,      ,      ,      ,      ,211.00,74.00, 121.00,326.00,35.00,  29.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1740178,NIED     ,2000-09-21,22:43:00   , 35.9000, 140.8000, 44.0,        ,NIED     ,16,1.010, 4.6,  ,      ,      ,      ,      ,      ,      , 12.00,82.00,  76.00,251.00,16.00, 148.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1740178,JMA      ,2000-09-21,22:43:25.90, 35.9400, 140.8400, 40.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,  1.00,72.00,  62.00,241.00,33.00, 146.00,  ,      ,54.00,236.00,      ,22.00,112.00,      ,27.00, 10.00
  2574525,NIED     ,2000-09-24,19:14:00   , 36.3000, 140.0000, 86.0,        ,NIED     ,14,3.630, 3.6,  ,      ,      ,      ,      ,      ,      ,  9.00,67.00,  78.00,217.00,26.00, 116.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  2574525,JMA      ,2000-09-24,19:14:28.30, 36.3200, 140.0400, 71.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,  4.00,61.00,  87.00,190.00,29.00,  96.00,  ,      ,74.00,265.00,      ,16.00, 96.00,      , 3.00,  5.00
  2574972,NIED     ,2000-09-25,17:50:00   , 36.8000, 141.8000, 29.0,        ,NIED     ,14,2.680, 3.6,  ,      ,      ,      ,      ,      ,      ,  2.00,62.00,  64.00,228.00,38.00, 129.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1911632,JMA      ,2000-09-26,20:59:52.40, 36.4500, 141.1900, 44.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,186.00,33.00, 101.00,353.00,58.00,  83.00,  ,      ,76.00,243.00,      ,13.00, 88.00,      , 6.00,357.00
  1911632,NIED     ,2000-09-26,21:00:00   , 36.4000, 141.2000, 35.0,        ,NIED     ,15,1.240, 4.0,  ,      ,      ,      ,      ,      ,      , 16.00,84.00,  78.00,261.00,14.00, 154.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1740345,NIED     ,2000-09-28,23:56:00   , 35.5000, 139.7000, 74.0,        ,NIED     ,16,1.830, 4.8,  ,      ,      ,      ,      ,      ,      ,211.00,32.00, -20.00,318.00,80.00,-120.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1740345,JMA      ,2000-09-28,23:56:08.70, 35.5200, 139.7400, 86.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,187.00,11.00, -28.00,304.00,85.00,-100.00,  ,      ,39.00, 43.00,      ,49.00,204.00,      ,10.00,305.00
  1911718,JMA      ,2000-09-29,00:55:58.90, 35.5100, 139.7200, 85.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,196.00,35.00, -61.00,341.00,60.00,-109.00,  ,      ,13.00, 85.00,      ,69.00,211.00,      ,16.00,351.00
  1911718,NIED     ,2000-09-29,00:56:00   , 35.5000, 139.6000, 71.0,        ,NIED     ,15,7.000, 4.5,  ,      ,      ,      ,      ,      ,      ,197.00,34.00, -28.00,311.00,75.00,-121.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  2576447,NIED     ,2000-09-29,10:14:00   , 36.5000, 140.6000, 65.0,        ,NIED     ,14,2.920, 3.6,  ,      ,      ,      ,      ,      ,      , 42.00,80.00, 116.00,152.00,28.00,  22.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  2576447,JMA      ,2000-09-29,10:14:27.20, 36.4600, 140.5700, 56.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 17.00,71.00,  86.00,208.00,19.00, 101.00,  ,      ,64.00,281.00,      ,26.00,110.00,      , 4.00, 18.00
  1911769,NIED     ,2000-09-30,07:51:00   , 35.5000, 139.7000, 77.0,        ,NIED     ,15,1.460, 4.0,  ,      ,      ,      ,      ,      ,      ,180.00,33.00, -58.00,324.00,63.00,-109.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1911769,JMA      ,2000-09-30,07:51:43.40, 35.5100, 139.7100, 85.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,173.00,25.00, -60.00,320.00,69.00,-103.00,  ,      ,23.00, 60.00,      ,64.00,209.00,      ,12.00,325.00
  1911773,JMA      ,2000-09-30,14:23:56.20, 35.5100, 139.7300, 84.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,183.00,32.00, -55.00,323.00,64.00,-110.00,  ,      ,17.00, 68.00,      ,65.00,198.00,      ,18.00,332.00
  1911773,NIED     ,2000-09-30,14:24:00   , 35.5000, 139.7000, 80.0,        ,NIED     ,15,1.170, 4.0,  ,      ,      ,      ,      ,      ,      ,185.00,23.00, -44.00,317.00,74.00,-107.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  2577279,NIED     ,2000-09-30,22:44:00   , 36.8000, 141.4000, 44.0,        ,NIED     ,14,5.430, 3.8,  ,      ,      ,      ,      ,      ,      , 55.00,40.00, -75.00,215.00,51.00,-102.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1911791,JMA      ,2000-10-01,03:04:56.20, 36.9700, 140.5300, 82.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 58.00,68.00, -69.00,192.00,30.00,-132.00,  ,      ,20.00,132.00,      ,61.00,  0.00,      ,20.00,230.00
  1911831,JMA      ,2000-10-02,03:24:40.70, 36.1800, 140.9600, 37.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,204.00,51.00, -67.00,350.00,45.00,-116.00,  ,      , 3.00,278.00,      ,72.00,178.00,      ,18.00,  9.00
  2610741,JMA      ,2000-10-02,20:29:55.20, 36.4200, 140.7000, 52.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 50.00,71.00,  89.00,233.00,19.00,  92.00,  ,      ,64.00,319.00,      ,26.00,141.00,      , 1.00, 51.00
  2610741,NIED     ,2000-10-02,20:30:00   , 36.4000, 140.7000, 53.0,        ,NIED     ,14,1.960, 3.5,  ,      ,      ,      ,      ,      ,      , 43.00,71.00,  92.00,218.00,19.00,  85.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1911900,NIED     ,2000-10-04,11:00:00   , 36.5000, 140.6000, 56.0,        ,NIED     ,14,7.140, 3.8,  ,      ,      ,      ,      ,      ,      ,152.00,59.00, -50.00,273.00,49.00,-137.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1911900,JMA      ,2000-10-04,11:00:08.40, 36.4600, 140.6300, 56.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,151.00,86.00, -44.00,245.00,46.00,-174.00,  ,      ,26.00,207.00,      ,33.00, 98.00,      ,45.00,327.00
  2619688,NIED     ,2000-10-10,10:19:00   , 36.7000, 142.1000, 23.0,        ,NIED     ,15,1.480, 4.0,  ,      ,      ,      ,      ,      ,      , 19.00,67.00,  88.00,203.00,23.00,  94.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  2619688,JMA      ,2000-10-10,10:19:53.80, 36.6800, 142.0600, 27.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,212.00,31.00, 129.00,349.00,66.00,  70.00,  ,      ,63.00,226.00,      ,19.00, 94.00,      ,19.00,357.00
  1912116,NIED     ,2000-10-11,06:15:00   , 35.5000, 139.7000, 86.0,        ,NIED     ,15,2.790, 4.2,  ,      ,      ,      ,      ,      ,      ,133.00,90.00, 114.00,223.00,24.00,   0.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1912116,JMA      ,2000-10-11,06:15:40.00, 35.5300, 139.7200, 86.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,172.00, 4.00, -56.00,318.00,87.00, -92.00,  ,      ,42.00, 50.00,      ,48.00,226.00,      , 2.00,318.00
  2620700,NIED     ,2000-10-11,07:46:00   , 37.2000, 142.3000, 11.0,        ,NIED     ,14,2.250, 3.5,  ,      ,      ,      ,      ,      ,      ,190.00,43.00, 178.00,282.00,88.00,  47.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1912130,NIED     ,2000-10-11,20:35:00   , 37.9000, 139.6000,  8.0,        ,NIED     ,15,1.330, 4.0,  ,      ,      ,      ,      ,      ,      ,160.00,44.00,  79.00,355.00,47.00, 101.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1912130,JMA      ,2000-10-11,20:35:33.80, 37.9400, 139.6000, 12.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,157.00,46.00,  88.00,341.00,44.00,  93.00,  ,      ,88.00,  6.00,      , 1.00,249.00,      , 2.00,159.00
  1912131,NIED     ,2000-10-11,20:37:00   , 37.9000, 139.6000,  8.0,        ,NIED     ,15,1.740, 4.1,  ,      ,      ,      ,      ,      ,      ,156.00,40.00,  81.00,348.00,50.00,  97.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1912131,JMA      ,2000-10-11,20:37:07.70, 37.9400, 139.6000, 12.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,140.00,35.00,  75.00,339.00,56.00, 101.00,  ,      ,76.00,281.00,      ,11.00, 61.00,      , 9.00,153.00
  2621434,JMA      ,2000-10-11,23:24:15.30, 37.7000, 141.0600, 76.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 97.00,26.00,-157.00,347.00,80.00, -66.00,  ,      ,31.00, 57.00,      ,49.00,283.00,      ,24.00,162.00
  2621434,NIED     ,2000-10-11,23:24:00   , 37.7000, 141.1000, 65.0,        ,NIED     ,14,2.870, 3.6,  ,      ,      ,      ,      ,      ,      , 84.00,27.00,-178.00,352.00,89.00, -63.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1912139,NIED     ,2000-10-12,01:31:00   , 35.5000, 141.1000, 47.0,        ,NIED     ,15,3.530, 4.3,  ,      ,      ,      ,      ,      ,      , 11.00,72.00,  89.00,196.00,18.00,  94.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1912279,NIED     ,2000-10-15,23:40:00   , 35.4000, 140.7000, 35.0,        ,NIED     ,14,6.810, 3.8,  ,      ,      ,      ,      ,      ,      , 33.00,56.00, -53.00,160.00,48.00,-132.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1740874,NIED     ,2000-10-18,03:58:00   , 36.9000, 139.7000,  8.0,        ,NIED     ,15,6.480, 4.5,  ,      ,      ,      ,      ,      ,      ,  3.00,84.00,  -4.00, 93.00,86.00,-174.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1740874,JMA      ,2000-10-18,03:58:24.50, 36.9200, 139.7000,  9.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,266.00,63.00, 177.00,357.00,87.00,  27.00,  ,      ,21.00,225.00,      ,17.00,128.00,      ,62.00,  2.00
  2627779,NIED     ,2000-10-19,07:25:00   , 36.9000, 139.7000, 11.0,        ,NIED     ,14,7.770, 3.9,  ,      ,      ,      ,      ,      ,      ,  6.00,82.00,  -1.00, 96.00,89.00,-172.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1740912,NIED     ,2000-10-19,12:12:00   , 37.0000, 142.1000, 26.0,        ,NIED     ,15,1.130, 4.0,  ,      ,      ,      ,      ,      ,      , 17.00,75.00,  84.00,219.00,16.00, 111.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1912541,NIED     ,2000-10-23,05:37:00   , 37.2000, 142.2000, 26.0,        ,NIED     ,14,3.480, 3.6,  ,      ,      ,      ,      ,      ,      ,  6.00,49.00,  91.00,185.00,41.00,  89.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1912549,JMA      ,2000-10-23,08:44:51.50, 36.4600, 140.6200, 56.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 11.00,65.00,  81.00,212.00,27.00, 109.00,  ,      ,69.00,262.00,      ,19.00,108.00,      , 9.00, 15.00
  1912549,NIED     ,2000-10-23,08:45:00   , 36.5000, 140.6000, 53.0,        ,NIED     ,15,1.740, 4.1,  ,      ,      ,      ,      ,      ,      , 20.00,68.00,  96.00,184.00,22.00,  75.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
