
International Seismological Centre
ISC: Focal Mechanism solutions

Any use of data from the ISC should be cited. The correct format for citations may be found on our citation page.

The ISC Bulletin has now been completely rebuilt for the period 1964-2010. As a result, the ISC hypocentre solutions and magnitudes for the entire period of 1964-latest are based on the ak135 velocity model and the location procedure that is currently used in operations. The Bulletin has been cleaned up and a considerable number of previously unavailable data of permanent and temporary seismic deployments have been added.

Once the search has completed, a compressed KML file will be available to view the results in Google Earth.

Make an event map
Search summary:
Database: ISC Bulletin
Search type: Rectangular search
Latitude range: 35 to 39
Longitude range: 139 to 143
Start date: 2012-09-01 00:00:00
End date: 2020-10-01 00:00:00
Events found: 3446

Data on or after 2017/10/01 have not been reviewed by the ISC.

DATA_TYPE FOCAL_MECHANISM_SOLUTIONS
ISC Bulletin
--EVENT--|------------------------------ORIGIN------------------------------|FM AUTHOR|----MOMENT---|-----------MOMENT TENSOR COMPONENTS---------|---------------NODAL PLANES--------------|-----------------------PRINCIPAL AXES-------------------------|
 EVENT_ID,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,CENTROID,AUTHOR   ,EX,MO   ,MW  ,EX,MRR   ,MTT   ,MPP   ,MRT   ,MTP   ,MPR   ,STRIKE,DIP  ,RAKE   ,STRIKE,DIP  ,RAKE   ,EX,T_VAL ,T_PL ,T_AZM ,P_VAL ,P_PL ,P_AZM ,N_VAL ,N_PL ,N_AZM 
606022627,NIED     ,2012-09-01,17:45:00   , 37.8000, 140.0000,  5.0,        ,NIED     ,15,1.430, 4.0,  ,      ,      ,      ,      ,      ,      , 27.00,26.00, 110.00,185.00,65.00,  81.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
606022627,JMA      ,2012-09-01,17:45:41.30, 37.8000, 140.0000,  9.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 41.00,73.00, 146.00,142.00,58.00,  20.00,  ,      ,36.00,357.00,      ,10.00, 94.00,      ,52.00,197.00
601862738,JMA      ,2012-09-01,18:47:48.10, 37.7900, 140.0000,  8.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 23.00,60.00, 115.00,159.00,38.00,  53.00,  ,      ,65.00,338.00,      ,12.00, 95.00,      ,22.00,190.00
601862755,NIED     ,2012-09-02,00:36:00   , 35.4000, 141.2000, 17.0,        ,NIED     ,14,4.250, 3.7,  ,      ,      ,      ,      ,      ,      ,213.00,54.00, -24.00,318.00,70.00,-141.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601862758,NIED     ,2012-09-02,02:14:00   , 36.6000, 141.3000, 38.0,        ,NIED     ,14,6.300, 3.8,  ,      ,      ,      ,      ,      ,      , 37.00,55.00, -99.00,232.00,35.00, -78.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601671978,NIED     ,2012-09-02,04:33:00   , 36.5000, 140.7000, 56.0,        ,NIED     ,15,1.030, 3.9,  ,      ,      ,      ,      ,      ,      , 12.00,65.00,  89.00,195.00,25.00,  93.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601671978,JMA      ,2012-09-02,04:33:46.10, 36.5200, 140.7000, 54.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,  5.00,70.00,  84.00,202.00,20.00, 106.00,  ,      ,64.00,266.00,      ,25.00,100.00,      , 6.00,  7.00
601862785,NIED     ,2012-09-02,12:21:00   , 36.7000, 142.3000, 11.0,        ,NIED     ,14,3.570, 3.6,  ,      ,      ,      ,      ,      ,      , 18.00,73.00,  91.00,193.00,17.00,  86.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601862818,NIED     ,2012-09-02,22:17:00   , 36.7000, 140.9000, 50.0,        ,NIED     ,14,2.870, 3.6,  ,      ,      ,      ,      ,      ,      ,  8.00,68.00,  72.00,230.00,28.00, 128.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601862854,NIED     ,2012-09-03,09:30:00   , 36.9000, 140.1000, 77.0,        ,NIED     ,14,5.110, 3.7,  ,      ,      ,      ,      ,      ,      ,  4.00,15.00,-105.00,200.00,75.00, -86.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
606024499,JMA      ,2012-09-04,03:41:48.50, 36.6900, 140.6400,  8.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,  6.00,56.00, -43.00,124.00,56.00,-137.00,  ,      , 0.00,245.00,      ,53.00,335.00,      ,37.00,155.00
606024657,JMA      ,2012-09-04,11:12:48.60, 35.9700, 139.5000, 62.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 38.00,80.00, -28.00,133.00,62.00,-169.00,  ,      ,12.00, 88.00,      ,27.00,352.00,      ,60.00,200.00
601674446,NIED     ,2012-09-04,14:56:00   , 38.3000, 141.9000, 53.0,        ,NIED     ,15,2.820, 4.2,  ,      ,      ,      ,      ,      ,      , 25.00,69.00,  91.00,203.00,21.00,  88.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601862941,JMA      ,2012-09-04,16:26:47.60, 36.7000, 140.6400,  6.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,  2.00,39.00, -31.00,117.00,71.00,-125.00,  ,      ,19.00,232.00,      ,51.00,347.00,      ,33.00,129.00
601862942,NIED     ,2012-09-04,16:54:00   , 37.4000, 141.6000, 32.0,        ,NIED     ,14,2.440, 3.5,  ,      ,      ,      ,      ,      ,      ,195.00,31.00, -44.00,325.00,69.00,-113.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601862979,NIED     ,2012-09-05,10:02:00   , 38.8000, 142.1000, 35.0,        ,NIED     ,14,1.470, 3.4,  ,      ,      ,      ,      ,      ,      ,193.00,69.00, -80.00,348.00,23.00,-114.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601676701,JMA      ,2012-09-05,18:20:00.00, 36.7000, 140.6100, 10.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 14.00,26.00, -53.00,153.00,70.00,-106.00,  ,      ,23.00,256.00,      ,62.00, 38.00,      ,15.00,159.00
601863006,JMA      ,2012-09-05,20:33:12.40, 35.4100, 139.2500, 17.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 25.00,80.00,  65.00,274.00,27.00, 157.00,  ,      ,49.00,267.00,      ,30.00,135.00,      ,25.00, 29.00
601863020,NIED     ,2012-09-06,02:09:00   , 36.9000, 141.4000,  5.0,        ,NIED     ,14,9.970, 3.9,  ,      ,      ,      ,      ,      ,      , 21.00,44.00, -95.00,208.00,46.00, -85.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601863065,NIED     ,2012-09-06,18:46:00   , 38.1000, 142.6000, 35.0,        ,NIED     ,14,2.760, 3.6,  ,      ,      ,      ,      ,      ,      ,232.00,68.00, 137.00,341.00,51.00,  29.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601863070,NIED     ,2012-09-06,21:05:00   , 35.7000, 140.2000, 65.0,        ,NIED     ,14,9.550, 3.9,  ,      ,      ,      ,      ,      ,      ,  3.00,64.00,  88.00,188.00,26.00,  94.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601863070,JMA      ,2012-09-06,21:05:13.50, 35.6500, 140.1800, 63.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,  4.00,76.00,  81.00,217.00,16.00, 122.00,  ,      ,58.00,262.00,      ,31.00,101.00,      , 9.00,  6.00
601715679,NIED     ,2012-09-07,06:17:00   , 36.7000, 141.2000,  8.0,        ,NIED     ,14,8.500, 3.9,  ,      ,      ,      ,      ,      ,      ,218.00,48.00, -53.00,349.00,53.00,-124.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601833369,NIED     ,2012-09-08,12:17:00   , 36.8000, 142.9000,  8.0,        ,NIED     ,15,2.080, 4.1,  ,      ,      ,      ,      ,      ,      , 16.00,51.00,  89.00,197.00,39.00,  91.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601863174,NIED     ,2012-09-08,15:49:00   , 35.8000, 141.1000,  8.0,        ,NIED     ,14,3.790, 3.7,  ,      ,      ,      ,      ,      ,      ,104.00,47.00,-134.00,339.00,59.00, -54.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
606026922,JMA      ,2012-09-08,16:17:57.20, 37.8000, 140.0000,  9.0,        ,JMA      ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      , 30.00,29.00, 106.00,191.00,63.00,  81.00,  ,      ,71.00, 82.00,      ,17.00,288.00,      , 8.00,196.00
601863227,NIED     ,2012-09-09,09:15:00   , 37.9000, 142.5000, 26.0,        ,NIED     ,14,2.040, 3.5,  ,      ,      ,      ,      ,      ,      ,  2.00,86.00,  87.00,224.00, 5.00, 132.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
601863267,NIED     ,2012-09-09,22:13:00   , 38.7000, 142.2000, 41.0,        ,NIED     ,14,2.280, 3.5,  ,      ,      ,      ,      ,      ,      , 28.00,66.00, 125.00,148.00,42.00,  38.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
