% West Bohemia mechanisms
%  strike          dip             rake  
   1.5264276e+02   6.2186955e+01  -3.6060595e+01
   2.6296832e+02   5.6662322e+01  -1.4539488e+02
   2.6696771e+02   5.2371271e+01  -1.4218549e+02
   2.6376045e+02   5.6221187e+01  -1.4485485e+02
   1.5461002e+02   7.4659835e+01  -4.0067798e+01
   1.5470496e+02   7.0427544e+01  -3.2253366e+01
   2.9103085e+02   6.7558871e+01  -1.4219885e+02
   2.8634242e+02   6.5465368e+01  -1.3545281e+02
   2.8863878e+02   7.0338035e+01  -1.4100927e+02
   2.9147634e+02   6.6065445e+01  -1.3141232e+02
   2.9085354e+02   6.3985103e+01  -1.2672795e+02
   2.8942728e+02   7.1154744e+01  -1.3657253e+02
   1.7962734e+02   3.3930670e+01  -4.0455477e+01
   2.8333494e+02   5.0361344e+01  -1.2325817e+02
   2.9431240e+02   6.7483029e+01  -1.3771792e+02
   2.7975042e+02   6.7421311e+01  -1.3863449e+02
   2.8587384e+02   6.4986452e+01  -1.3831522e+02
   1.5877434e+02   7.3929637e+01  -3.8956533e+01
   2.6298210e+02   5.0344059e+01  -1.4198295e+02
   1.6823392e+02   6.8563874e+01  -3.5032660e+01
   1.7179548e+02   6.2217845e+01  -3.5619623e+01
   1.7593667e+02   6.4457092e+01  -3.3738508e+01
   1.5922441e+02   8.1805371e+01  -3.7872109e+01
   1.6350323e+02   8.6575459e+01  -3.3334458e+01
   3.4149143e+02   8.9744356e+01   2.9726276e+01
   2.6577104e+02   5.8392745e+01  -1.4429773e+02
   3.0505418e+02   7.4555779e+01  -1.5034213e+02
   1.8158007e+02   6.2030211e+01  -3.5319091e+01
   2.2080131e+02   5.7423532e+01  -4.0578778e+01
   3.4630034e+02   8.3360887e+01   3.3496830e+01
   3.4220463e+02   8.8378054e+01   2.8424905e+01
   1.6298495e+02   8.9729152e+01  -3.3243230e+01
   1.7249558e+02   7.5951541e+01  -3.8080703e+01
   2.8088642e+02   5.1748217e+01  -1.3754142e+02
   3.4155816e+02   8.8161829e+01   2.9991570e+01
   1.5951270e+02   8.8659048e+01  -2.8704879e+01
   1.6331111e+02   7.4434189e+01  -3.2810039e+01
   1.6161385e+02   7.9277733e+01  -3.6961793e+01
   2.5180659e+02   6.5144100e+01  -1.7101825e+02
   1.6578044e+02   7.0613674e+01  -3.9248530e+01
   1.6202637e+02   8.7528374e+01  -2.6120239e+01
   3.4719847e+02   8.1682623e+01   2.2255789e+01
   3.4370545e+02   8.8759109e+01   2.0093801e+01
   3.4675000e+02   7.9623914e+01   2.5780926e+01
   3.4189120e+02   8.9314375e+01   2.4913375e+01
   1.7395341e+02   8.8549780e+01  -3.0163469e+01
   3.4261061e+02   7.9963010e+01   2.3820069e+01
   3.4412773e+02   8.6695849e+01   2.7806319e+01
   2.0155714e+02   5.2443177e+01  -3.2351560e+01
   3.3468532e+02   7.2955676e+01   1.8737976e+01
   3.4690349e+02   7.9010151e+01   2.3427051e+01
   3.3947645e+02   7.6201605e+01   2.0431537e+01
   2.0663508e+02   5.6738094e+01  -2.8117383e+01
   2.0330410e+02   5.7270229e+01  -3.0188557e+01
   3.5013222e+02   8.5193185e+01   3.0125400e+01
   3.0984863e+02   6.6660767e+01  -1.5008309e+02
   2.1134761e+02   5.6716657e+01  -3.5398645e+01
   3.1313975e+02   6.0286687e+01  -1.4006033e+02
   3.1012432e+02   5.8161076e+01  -1.4589233e+02
   3.4012366e+02   7.4409483e+01   2.4516494e+01
   2.6228387e+02   5.3307421e+01  -1.4682851e+02
   2.6612821e+02   6.4759352e+01  -1.3252856e+02
   3.2324937e+02   4.4046704e+01  -1.4880577e+02
   1.6300232e+02   7.5741774e+01  -3.2708313e+01
   3.5627674e+02   7.5379677e+01   2.8910631e+01
   1.6895841e+02   8.3045649e+01  -3.0792895e+01
   2.0829478e+02   7.8057927e+01  -2.1227744e+01
   1.6861157e+02   8.3595537e+01  -2.5900990e+01
   1.6531837e+02   6.5602888e+01  -3.0612015e+01
   1.6810760e+02   7.7626490e+01  -2.8093028e+01
   1.3480826e+02   5.3445520e+01  -6.2695568e+01
   2.0546539e+02   7.3803024e+01  -4.7633713e+01
   3.1744189e+02   3.5624092e+01  -1.5415674e+02
   1.6467942e+02   7.1062362e+01  -3.7108332e+01
   1.6789980e+02   7.1407353e+01  -2.6799162e+01
   2.7356975e+02   4.3039491e+01  -1.7477016e+02
   1.7587221e+01   8.5088120e+01   6.5268565e+01
   3.5504795e+02   8.1543127e+01   3.0068621e+01
   1.2928120e+02   5.3455718e+01  -7.0056595e+01
   1.7171253e+02   7.1503169e+01  -3.7100465e+01
   1.4766470e+02   3.8285561e+01   1.9311508e+01
   1.5787746e+02   7.3000426e+01  -4.1938759e+01
   1.7018013e+02   7.1868722e+01  -4.2638848e+01
   1.6683940e+02   7.6063856e+01  -2.8090834e+01
   1.6844542e+02   7.6137793e+01  -3.0991332e+01
   3.1618785e+02   4.6896782e+01  -1.4164301e+02
   1.9970345e+02   6.5627639e+01  -6.0790885e+01
   2.0059909e+02   6.6609415e+01  -6.0452864e+01
   1.6862598e+02   7.0324325e+01  -2.8149729e+01
   2.5316560e+02   5.5722329e+01   1.6275744e+02
   2.5418738e+02   5.6688146e+01   1.6635672e+02
   2.5302760e+02   6.1676977e+01   1.6974477e+02
   2.5332195e+02   6.1073783e+01   1.5711136e+02
   3.0457853e+02   5.5602134e+01  -1.3522393e+02
   2.6840090e+02   5.0100476e+01   1.2975503e+02
   2.9750681e+01   5.3406529e+01   6.4907680e+01
   1.6454767e+02   6.1778811e+01  -3.3904580e+01
   2.7570157e+02   5.2462980e+01   1.3264484e+02
   1.2360569e+01   3.3577023e+01   4.9382278e+01
   2.5613228e+02   5.5070698e+01   1.6540821e+02
   2.5905854e+02   5.6085794e+01  -1.4623967e+02
   2.6459570e+02   5.5090780e+01  -1.4440296e+02
   1.5785926e+02   6.6509155e+01  -3.6699444e+01
   2.7360918e+02   5.1908789e+01  -1.3297810e+02
   1.5478610e+02   6.3580584e+01  -3.8541442e+01
   1.5648789e+02   7.1531776e+01  -2.9026182e+01
   1.4603853e+02   7.3782098e+01  -4.3612023e+01
   1.4896448e+02   6.5812768e+01  -3.8645820e+01
   1.6417812e+02   7.2412375e+01  -3.9698540e+01
   1.5145940e+02   6.7767347e+01  -4.1987554e+01
   1.5648017e+02   6.9754505e+01  -4.0926873e+01
   1.5713346e+02   7.1780652e+01  -4.0611214e+01
   1.5800602e+02   7.2891912e+01  -4.0633465e+01
   2.6966331e+02   4.7796337e+01  -1.4696482e+02
   1.5610918e+02   7.8028636e+01  -4.1268432e+01
   1.6161603e+02   7.5515295e+01  -3.4006532e+01
   1.6030305e+02   7.5041017e+01  -4.2375039e+01
